source_path,expected_prev_eps,expected_new_eps
140120260206549927.pdf,136.04,156.78
140120260217563949.pdf,79.38,85.68
140120260218564170.pdf,86.72,143.64
140120260220566605.pdf,5.0,3.25
140120260223566990.pdf,,-35.17
140120260224567066.pdf,,80.41
140120260224567269.pdf,348.52,319.48
140120260224567413.pdf,47.15,54.66
140120260224567426.pdf,270.20,324.23
140120260224567998.pdf,79.28,103.20
140120260220566014.pdf,134.14,279.06
140120260225568356.pdf,,64.82
140120260225568979.pdf,64.0,38.0
140120260225569002.pdf,82.1,99.5
140120260226569513.pdf,4.0,3.0
140120260302573035.pdf,134.2,180.9
140120260302573796.pdf,397.0,-250.0
140120260304575482.pdf,202.0,202.0
140120260305576615.pdf,851.0,3818.0
140120260305576780.pdf,,-4241.0
140120260305576938.pdf,-20.0,-20.0
140120260306577712.pdf,20.2,19.4
140120260306577757.pdf,151.0,193.0
140120260213561316.pdf,3.0,3.0
140120260225568550.pdf,3.0,3.0
140120260220565976.pdf,3.0,3.0
140120260218564639.pdf,188.06,201.09
140120260223566997.pdf,,43.32
140120260224567377.pdf,,28.53
140120260225568450.pdf,,195.07
140120260225569178.pdf,,996.89
140120260226569824.pdf,,-74.12
140120260227571645.pdf,,106.91
140120260304575305.pdf,,157.73
140120260304575655.pdf,,219.02
140120260304575759.pdf,,40.33
140120260304576008.pdf,,7.12
140120260304576030.pdf,,117.46
140120260304576061.pdf,,336.3
140120260305576562.pdf,,161.95
140120260305576596.pdf,,183.46
140120260306577313.pdf,,451.33
140120260306577334.pdf,,50.93
140120260306577666.pdf,,8.86
140120260306577795.pdf,,38.99
140120260309578330.pdf,,37.11
140120260310578805.pdf,,73.72
140120260310578808.pdf,,-20.01
140120260310578917.pdf,,15.28
140120260310579159.pdf,,9.94
