ticker,period,quarter,comparison_key,sqlite_updated_at,supabase_updated_at,difference_type,comparison_result
8181,2026-02-28,2Q,8181|2026-02-28|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9513,2021-03-31,FY,9513|2021-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
8076,2022-03-31,FY,8076|2022-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4690,2022-03-31,3Q,4690|2022-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7980,2023-03-31,3Q,7980|2023-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3192,2025-11-30,FY,3192|2025-11-30|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
8077,2024-10-31,FY,8077|2024-10-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6612,2025-12-31,1Q,6612|2025-12-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4928,2022-09-30,3Q,4928|2022-09-30|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
2883,2024-03-31,1Q,2883|2024-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6568,2023-03-31,3Q,6568|2023-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4544,2026-03-31,3Q,4544|2026-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
2001,2025-03-31,2Q,2001|2025-03-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
2114,2022-03-31,2Q,2114|2022-03-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3853,2024-03-31,3Q,3853|2024-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4970,2023-03-31,2Q,4970|2023-03-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6779,2024-03-31,2Q,6779|2024-03-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9025,2022-03-31,FY,9025|2022-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9828,2022-03-31,1Q,9828|2022-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3865,2026-03-31,3Q,3865|2026-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4317,2022-02-28,FY,4317|2022-02-28|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
155A0,2025-12-31,2Q,155A0|2025-12-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4196,2025-09-30,2Q,4196|2025-09-30|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4530,2025-02-28,3Q,4530|2025-02-28|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6294,2023-03-31,3Q,6294|2023-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9304,2023-03-31,FY,9304|2023-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
8089,2024-03-31,FY,8089|2024-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4183,2022-03-31,1Q,4183|2022-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6758,2025-03-31,2Q,6758|2025-03-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6768,2025-03-31,1Q,6768|2025-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9305,2026-03-31,FY,9305|2026-03-31|FY,,2026-03-10 11:55:03.910681+00:00,one_side_null,one_side_null
5987,2021-06-30,FY,5987|2021-06-30|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6029,2021-12-31,3Q,6029|2021-12-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6866,2022-12-31,FY,6866|2022-12-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7516,2026-02-28,3Q,7516|2026-02-28|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
2180,2025-06-30,2Q,2180|2025-06-30|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3329,2024-04-30,3Q,3329|2024-04-30|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3481,2023-08-31,FY,3481|2023-08-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4746,2022-12-31,FY,4746|2022-12-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
8135,2025-03-31,1Q,8135|2025-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7630,2025-02-28,FY,7630|2025-02-28|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7931,2022-03-20,2Q,7931|2022-03-20|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4960,2023-03-31,FY,4960|2023-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3864,2025-03-31,2Q,3864|2025-03-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
2674,2022-03-31,1Q,2674|2022-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4884,2022-09-30,1Q,4884|2022-09-30|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3069,2024-03-31,FY,3069|2024-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
5341,2021-11-30,1Q,5341|2021-11-30|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
